Course Code,Course Title,Session,Cr Hrs,Day and Time,Instructor
SSE 101 LEC 16,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 17,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 18,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 19,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 20,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 21,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 22,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 23,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SSE 101 LEC 24,First Year Tutorial,16W,0.5,F 10:00AM-12:50PM,
SWR 102 PRT 1,Swimming for Beginners,16W,1.0,TR 10:00AM-11:15AM,"Muhammad Haider Awan
Amir Hussain"
SWR 102 PRT 2,Swimming for Beginners,16W,1.0,MW 10:00AM-11:15AM,"Khalida Bashir
Rabia Yasin"
SWR 102 PRT 3,Swimming for Beginners,16W,1.0,TR 2:00PM-3:15PM,"Rashid Ahmad
Azmat Ullah"
SWR 102 PRT 4,Swimming for Beginners,16W,1.0,MW 2:00PM-3:15PM,"Kausar Farooq
Nimra Nimra"
SWR 102 PRT 5,Swimming for Beginners,16W,1.0,TR 12:00PM-1:15PM,"Khalida Bashir
Rabia Yasin"
SWR 102 PRT 6,Swimming for Beginners,16W,1.0,MW 12:00PM-1:15PM,"Muhammad Haider Awan
Amir Hussain"
SWR 102 PRT 7,Swimming for Beginners,16W,1.0,TR 4:00PM-5:15PM,"Kausar Farooq
Nimra Nimra"
SWR 102 PRT 8,Swimming for Beginners,16W,1.0,MW 4:00PM-5:15PM,"Rashid Ahmad
Azmat Ullah"
SWR 103 PRT 1,Strength Training and Conditioning for Beginners,16W,1.0,MW 10:00AM-11:15AM,Muhammad Bilal Iqbal Khan
SWR 103 PRT 2,Strength Training and Conditioning for Beginners,16W,1.0,TR 10:00AM-11:15AM,Muhammad Bilal Iqbal Khan
SWR 103 PRT 3,Strength Training and Conditioning for Beginners,16W,1.0,MW 2:00PM-3:15PM,Mudassar Naseer
SWR 103 PRT 4,Strength Training and Conditioning for Beginners,16W,1.0,TR 2:00PM-3:15PM,Mudassar Naseer
SWR 103 PRT 5,Strength Training and Conditioning for Beginners,16W,1.0,TR 4:00PM-5:15PM,Muhammad Shakeel
SWR 103 PRT 6,Strength Training and Conditioning for Beginners,16W,1.0,MW 4:00PM-5:15PM,Muhammad Shakeel
SWR 103 PRT 7,Strength Training and Conditioning for Beginners,16W,1.0,MW 10:00AM-11:15AM,Kanwal Yousaf
SWR 103 PRT 8,Strength Training and Conditioning for Beginners,16W,1.0,TR 10:00AM-11:15AM,Kanwal Yousaf
SWR 103 PRT 9,Strength Training and Conditioning for Beginners,16W,1.0,MW 11:30AM-12:45PM,Aruba Naz
SWR 103 PRT 10,Strength Training and Conditioning for Beginners,16W,1.0,TR 11:30AM-12:45PM,Aruba Naz
SWR 103 PRT 11,Strength Training and Conditioning for Beginners,16W,1.0,MW 4:00PM-5:15PM,Shabana Kausar
SWR 103 PRT 12,Strength Training and Conditioning for Beginners,16W,1.0,TR 4:00PM-5:15PM,Shabana Kausar
SWR 104 PRT 1,Basketball for beginners,16W,1.0,MW 3:30PM-4:45PM,Mohsin Riaz
SWR 104 PRT 2,Basketball for beginners,16W,1.0,MW 5:00PM-6:15PM,Mohsin Riaz
SWR 104 PRT 3,Basketball for beginners,16W,1.0,TR 3:30PM-4:45PM,Mohsin Riaz
SWR 104 PRT 4,Basketball for beginners,16W,1.0,TR 5:00PM-6:15PM,Mohsin Riaz
SWR 105 PRT 1,"Walk, Jog and Stretch for Fitness",16W,1.0,MW 3:30PM-4:45PM,Babar Asad Khan
SWR 105 PRT 2,"Walk, Jog and Stretch for Fitness",16W,1.0,MW 5:00PM-6:15PM,Babar Asad Khan
SWR 105 PRT 3,"Walk, Jog and Stretch for Fitness",16W,1.0,TR 3:30PM-4:45PM,Babar Asad Khan
SWR 105 PRT 4,"Walk, Jog and Stretch for Fitness",16W,1.0,TR 5:00PM-6:15PM,Babar Asad Khan
